data_referencia,ano,mes,dia,trimestre,semestre,dia_semana,nome_dia_semana,nome_mes,ano_mes,eh_final_de_semana,eh_feriado_nacional_fixo,eh_dia_util
2020-01-01,2020,1,1,1,1,3,Terca-feira,Janeiro,202001,False,True,False
2020-01-02,2020,1,2,1,1,4,Quarta-feira,Janeiro,202001,False,False,True
2020-01-03,2020,1,3,1,1,5,Quinta-feira,Janeiro,202001,False,False,True
2020-01-04,2020,1,4,1,1,6,Sexta-feira,Janeiro,202001,True,False,False
2020-01-05,2020,1,5,1,1,7,Sabado,Janeiro,202001,True,False,False
2020-01-06,2020,1,6,1,1,1,Domingo,Janeiro,202001,False,False,True
2020-01-07,2020,1,7,1,1,2,Segunda-feira,Janeiro,202001,False,False,True
2020-01-08,2020,1,8,1,1,3,Terca-feira,Janeiro,202001,False,False,True
2020-01-09,2020,1,9,1,1,4,Quarta-feira,Janeiro,202001,False,False,True
2020-01-10,2020,1,10,1,1,5,Quinta-feira,Janeiro,202001,False,False,True
2020-01-11,2020,1,11,1,1,6,Sexta-feira,Janeiro,202001,True,False,False
2020-01-12,2020,1,12,1,1,7,Sabado,Janeiro,202001,True,False,False
2020-01-13,2020,1,13,1,1,1,Domingo,Janeiro,202001,False,False,True
2020-01-14,2020,1,14,1,1,2,Segunda-feira,Janeiro,202001,False,False,True
2020-01-15,2020,1,15,1,1,3,Terca-feira,Janeiro,202001,False,False,True
2020-01-16,2020,1,16,1,1,4,Quarta-feira,Janeiro,202001,False,False,True
2020-01-17,2020,1,17,1,1,5,Quinta-feira,Janeiro,202001,False,False,True
2020-01-18,2020,1,18,1,1,6,Sexta-feira,Janeiro,202001,True,False,False
2020-01-19,2020,1,19,1,1,7,Sabado,Janeiro,202001,True,False,False
2020-01-20,2020,1,20,1,1,1,Domingo,Janeiro,202001,False,False,True
2020-01-21,2020,1,21,1,1,2,Segunda-feira,Janeiro,202001,False,False,True
2020-01-22,2020,1,22,1,1,3,Terca-feira,Janeiro,202001,False,False,True
2020-01-23,2020,1,23,1,1,4,Quarta-feira,Janeiro,202001,False,False,True
2020-01-24,2020,1,24,1,1,5,Quinta-feira,Janeiro,202001,False,False,True
2020-01-25,2020,1,25,1,1,6,Sexta-feira,Janeiro,202001,True,False,False
2020-01-26,2020,1,26,1,1,7,Sabado,Janeiro,202001,True,False,False
2020-01-27,2020,1,27,1,1,1,Domingo,Janeiro,202001,False,False,True
2020-01-28,2020,1,28,1,1,2,Segunda-feira,Janeiro,202001,False,False,True
2020-01-29,2020,1,29,1,1,3,Terca-feira,Janeiro,202001,False,False,True
2020-01-30,2020,1,30,1,1,4,Quarta-feira,Janeiro,202001,False,False,True
2020-01-31,2020,1,31,1,1,5,Quinta-feira,Janeiro,202001,False,False,True
2020-02-01,2020,2,1,1,1,6,Sexta-feira,Fevereiro,202002,True,False,False
2020-02-02,2020,2,2,1,1,7,Sabado,Fevereiro,202002,True,False,False
2020-02-03,2020,2,3,1,1,1,Domingo,Fevereiro,202002,False,False,True
2020-02-04,2020,2,4,1,1,2,Segunda-feira,Fevereiro,202002,False,False,True
2020-02-05,2020,2,5,1,1,3,Terca-feira,Fevereiro,202002,False,False,True
2020-02-06,2020,2,6,1,1,4,Quarta-feira,Fevereiro,202002,False,False,True
2020-02-07,2020,2,7,1,1,5,Quinta-feira,Fevereiro,202002,False,False,True
2020-02-08,2020,2,8,1,1,6,Sexta-feira,Fevereiro,202002,True,False,False
2020-02-09,2020,2,9,1,1,7,Sabado,Fevereiro,202002,True,False,False
2020-02-10,2020,2,10,1,1,1,Domingo,Fevereiro,202002,False,False,True
2020-02-11,2020,2,11,1,1,2,Segunda-feira,Fevereiro,202002,False,False,True
2020-02-12,2020,2,12,1,1,3,Terca-feira,Fevereiro,202002,False,False,True
2020-02-13,2020,2,13,1,1,4,Quarta-feira,Fevereiro,202002,False,False,True
2020-02-14,2020,2,14,1,1,5,Quinta-feira,Fevereiro,202002,False,False,True
